"ID","TASK","WHO ID","WHAT ID","RELATED ASSOCIATION","DUE DATE","TASK SUB TYPE","DESCRIPTION","STATUS","PRIORITY","STATUS"
"00T3C00000GLELkUAP","task 1201","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELlUAP","task 1202","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELmUAP","task 1203","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELnUAP","task 1204","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELoUAP","task 1205","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELpUAP","task 1206","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELqUAP","task 1207","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELrUAP","task 1208","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELsUAP","task 1209","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELtUAP","task 1210","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELuUAP","task 1211","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELvUAP","task 1212","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELwUAP","task 1213","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELxUAP","task 1214","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELyUAP","task 1215","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLELzUAP","task 1216","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM0UAP","task 1217","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM1UAP","task 1218","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM2UAP","task 1219","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM3UAP","task 1220","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM4UAP","task 1221","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM5UAP","task 1222","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM6UAP","task 1223","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM7UAP","task 1224","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM8UAP","task 1225","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEM9UAP","task 1226","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMAUA5","task 1227","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMBUA5","task 1228","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMCUA5","task 1229","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMDUA5","task 1230","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMEUA5","task 1231","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMFUA5","task 1232","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMGUA5","task 1233","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMHUA5","task 1234","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMIUA5","task 1235","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMJUA5","task 1236","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMKUA5","task 1237","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMLUA5","task 1238","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMMUA5","task 1239","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMNUA5","task 1240","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMOUA5","task 1241","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMPUA5","task 1242","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMQUA5","task 1243","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMRUA5","task 1244","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMSUA5","task 1245","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMTUA5","task 1246","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMUUA5","task 1247","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMVUA5","task 1248","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMWUA5","task 1249","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMXUA5","task 1250","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMYUA5","task 1251","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMZUA5","task 1252","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMaUAP","task 1253","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMbUAP","task 1254","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMcUAP","task 1255","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLEMdUAP","task 1256","","","0013C00000mXBfsQAG","11/7/2022","call","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
