Legal Name,Record Type,Phone,Ownership,Annual Revenue,Website,Target Co-investment (mn),Employees
AIG Crop,Advisor,,,,,,152
Convercis,Advisor,,,,,,157
Tecture,Advisor,,,,,,162
Piqabu,Advisor,,,,,,167
Loews Corporation,Advisor,1713831948,Subsidiary,1976,http://www.chemeljameslcpa.com,,
XL-Group plc,Advisor,6834304575,Private,28926,http://www.chapmanrosseesq.com,,
Westamerica_Bancorporation,Advisor,15382441098,Public,75754,http://www.truhlarandtruhlarattys.com,,
AIH Limited,Advisor,23930577621,Other,861,http://www.rangoniofflorence.com,,
ORI Corp,Advisor,32478714144,Subsidiary,3534,http://www.rousseauxmichaelesq.com,,
Aircastle Limited,Advisor,41026850667,Private,543,http://www.tmbyxbeecompanypc.com,,
Donegal Group Inc.,Advisor,49574987190,Public,61667.5,http://www.sportenart.com,,
UF Group,Advisor,58123123713,Other,104940.4,http://www.franklinpeterlesq.com,,
