Legal Name,Record Type,Phone,Ownership,Annual Revenue,Website,Target Co-investment (mn),Employees
Tata Motors,Company,,,,,350,
Ranbaxy,Company,,,,,400,
Walmart inc,Company,,,,,450,
Larsen Turbo,Company,,,,,,151
Mercer,Company,,,,,,156
Bioqem,Company,,,,,,161
Troeve,Company,,,,,,166
Morris Garages,Company,,,,,,171
RGA Inc,Company,4563210789,Private,5389,http://www.chanayjeffreyaesq.com,,
Signature Bank,Company,3984925734,Public,311,http://www.printingdimensions.com,,
Erie & Indemnity Company,Company,12533062257,Other,71579,http://www.commercialpress.com,,
"Greenlight Capital Re, Ltd.",Company,21081198780,Subsidiary,2080,http://www.dorljamesjesq.com,,
UFM Bankshares Corp.,Company,29629335303,Private,880,http://www.buckleymillerwright.com,,
"Capitol Federal Financial, Inc.",Company,38177471826,Public,539,http://www.boltonwilburesq.com,,
HM Educators Corporation,Company,46725608349,Other,22529,http://www.postboxservicesplus.com,,
"Northwest Bancshares, Inc.",Company,55273744872,Subsidiary,90516.1,http://www.ingallsdonaldresq.com,,
