Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 001,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 002,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 003,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 004,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 005,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 006,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 007,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 008,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 009,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 010,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 011,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 012,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 013,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 014,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 015,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 016,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 017,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 018,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 019,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 020,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 021,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 022,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 023,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 024,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 025,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 026,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 027,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 028,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 029,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 030,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 031,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 032,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 033,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 034,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 035,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 036,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 037,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 038,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 039,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 040,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 041,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 042,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 043,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 044,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 045,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 046,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 047,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 048,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 049,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 050,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 051,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 052,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 053,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 054,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 055,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 056,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
